True Values,Predictions,,MRE,,AVE MRE,rmse
220.6222445,219.0270801,,0.723029719,,2.378858238,2.104000431
238.4184261,228.0234578,,4.359968507,,,
212.2403061,213.6335444,,0.656443769,,,
207.2812227,210.5210114,,1.562991865,,,
193.864647,195.9639354,,1.082862934,,,
160.5935135,167.4725323,,4.283497254,,,
184.8814286,192.5363932,,4.140472479,,,
182.5164021,188.4934423,,3.274796183,,,
188.2956311,194.4637315,,3.275753358,,,
182.4131972,178.5667799,,2.108628813,,,
196.4930517,196.7309342,,0.121064061,,,
239.7006931,233.5100389,,2.582660127,,,
230.2461847,226.1764057,,1.767577177,,,
224.2408442,222.0933875,,0.957656337,,,
161.3556418,174.4124392,,8.091937362,,,
233.8157025,227.5530513,,2.678456184,,,
198.6561489,198.964168,,0.155051418,,,
249.3354891,242.1225512,,2.892864522,,,
204.0082009,203.4221883,,0.287249526,,,
213.7164706,214.4613918,,0.348555832,,,
251.7606557,244.2005856,,3.002879907,,,
209.6672719,213.4314894,,1.795329076,,,
206.0949119,205.8200072,,0.133387454,,,
203.5371429,202.6048133,,0.458063573,,,
217.4162537,217.0962388,,0.147189986,,,
152.2361569,166.0219632,,9.055540095,,,
248.6225924,241.0581002,,3.042560247,,,
216.0835655,217.0299076,,0.437951934,,,
244.7520938,239.5517844,,2.124725196,,,
207.4159812,212.4820785,,2.442481683,,,
254.534738,245.7303286,,3.459020755,,,
240.7964562,235.2714008,,2.294491969,,,
156.9773632,166.299717,,5.93866123,,,
149.7669956,161.4352266,,7.790922755,,,
241.0886525,237.145872,,1.63540691,,,
167.7902516,174.447015,,3.967312371,,,
199.9128778,199.6458608,,0.133566688,,,
201.2691696,200.4884587,,0.387893922,,,
172.8267886,175.6464305,,1.631484275,,,
242.1570458,237.7475292,,1.820932637,,,
242.9096599,239.1887051,,1.531826573,,,
220.3929216,217.4641216,,1.328899323,,,
